"GEOID","county","pub_assist","ed_total","higher_ed","higher_ed_prop"
"55141","Wood County, Wisconsin",32290,52971,12796,0.241566139963376
"56021","Laramie County, Wyoming",42559,69787,19803,0.283763451645722
"56025","Natrona County, Wyoming",33474,55389,17478,0.315550018956833
"72013","Arecibo Municipio, Puerto Rico",32158,NA,NA,NA
"72021","Bayamón Municipio, Puerto Rico",74177,NA,NA,NA
"72025","Caguas Municipio, Puerto Rico",53037,NA,NA,NA
"72031","Carolina Municipio, Puerto Rico",66468,NA,NA,NA
"72061","Guaynabo Municipio, Puerto Rico",36412,NA,NA,NA
"72097","Mayagüez Municipio, Puerto Rico",29625,NA,NA,NA
"72113","Ponce Municipio, Puerto Rico",54689,NA,NA,NA
"72127","San Juan Municipio, Puerto Rico",158386,NA,NA,NA
"72135","Toa Alta Municipio, Puerto Rico",23703,NA,NA,NA
"72137","Toa Baja Municipio, Puerto Rico",28722,NA,NA,NA
"72139","Trujillo Alto Municipio, Puerto Rico",29677,NA,NA,NA
